Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100,"1,380.7 ns",909.72 ns,49.86 ns,0.02,0.00,0.0134,240 B,0.87
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1000,"87,493.5 ns","32,096.37 ns","1,759.31 ns",1.00,0.02,0.0000,275 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1000,"4,593.4 ns","3,177.58 ns",174.17 ns,0.05,0.00,0.0153,272 B,0.99
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,1000,"4,413.0 ns","3,507.96 ns",192.28 ns,0.05,0.00,0.0076,240 B,0.87
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10000,"86,276.3 ns","47,624.28 ns","2,610.45 ns",1.00,0.04,0.0000,275 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10000,"34,676.5 ns","25,539.94 ns","1,399.93 ns",0.40,0.02,0.0000,273 B,0.99
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,10000,"31,174.0 ns","8,377.76 ns",459.21 ns,0.36,0.01,0.0000,241 B,0.88
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,50000,"89,377.2 ns","34,041.43 ns","1,865.93 ns",1.00,0.03,0.0000,275 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,50000,"166,891.3 ns","57,749.79 ns","3,165.46 ns",1.87,0.05,0.0000,277 B,1.01
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,50000,"165,493.8 ns","122,269.80 ns","6,702.02 ns",1.85,0.07,0.0000,245 B,0.89
'Current — facet scan all N ordinals',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100000,"87,959.2 ns","67,326.65 ns","3,690.40 ns",1.00,0.05,0.0000,275 B,1.00
'Facet on K — intersect second bitset (conservative prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100000,"322,425.0 ns","59,903.36 ns","3,283.51 ns",3.67,0.13,0.0000,282 B,1.03
'Facet on K — clear + re-add matches (tighter prototype)',Job-FFBIFZ,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,Default,3,Default,Default,Default,Default,Default,Default,Default,Default,16,1,100000,"330,947.0 ns","652,690.91 ns","35,776.19 ns",3.77,0.38,0.0000,249 B,0.91
