Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100,158.10 μs,619.675 μs,33.966 μs,146.70 μs,0.007,0.00,0.0000,235.54 KB,0.022
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1000,"22,277.50 μs","13,043.788 μs",714.974 μs,"22,671.50 μs",1.00,0.04,0.0000,10759.92 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1000,248.03 μs,150.677 μs,8.259 μs,244.30 μs,0.01,0.00,0.0000,168.59 KB,0.02
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1000,"1,626.87 μs",425.640 μs,23.331 μs,"1,622.70 μs",0.07,0.00,0.0000,3649.31 KB,0.34
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,"21,745.15 μs","5,362.630 μs",293.944 μs,"21,778.75 μs",1.00,0.02,0.0000,10759.92 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,"2,502.53 μs","1,507.661 μs",82.640 μs,"2,531.10 μs",0.12,0.00,0.0000,1645.48 KB,0.15
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,"25,693.07 μs","54,075.262 μs","2,964.048 μs","26,328.90 μs",1.18,0.12,2000.0000,48608.11 KB,4.52
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,"22,688.73 μs","26,924.145 μs","1,475.803 μs","21,939.00 μs",1.00,0.08,0.0000,10759.92 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,"8,969.10 μs","10,339.296 μs",566.732 μs,"8,644.20 μs",0.40,0.03,0.0000,6124.38 KB,0.57
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,"110,218.00 μs","74,168.409 μs","4,065.421 μs","109,134.50 μs",4.87,0.31,12000.0000,204122.91 KB,18.97
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100000,"21,417.73 μs","3,485.509 μs",191.052 μs,"21,445.80 μs",1.00,0.01,0.0000,10760.2 KB,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100000,"18,266.70 μs","1,020.162 μs",55.919 μs,"18,248.30 μs",0.85,0.01,0.0000,9588.19 KB,0.89
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100000,"201,287.60 μs","24,872.453 μs","1,363.343 μs","200,738.90 μs",9.40,0.09,21000.0000,353073.71 KB,32.81
