Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,Median,Ratio,RatioSD,Allocated,Alloc Ratio
'0 text hits + NaturalSort cold',Job-SMWSIB,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Default,1,1,29.27 μs,13.25 μs,2.050 μs,29.90 μs,1.00,0.09,16.38 KB,1.00
'Within+Facet+NaturalSort cold (see SelectivityPipelineCounts)',Job-SMWSIB,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Default,1,1,155.64 μs,81.14 μs,21.071 μs,163.70 μs,5.34,0.75,85.8 KB,5.24
'Within+Facet SnapshotOrder (see SelectivityPipelineCounts)',Job-SMWSIB,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,5,Default,Default,Default,Default,Default,Default,Default,Default,1,1,356.28 μs,"1,387.89 μs",360.431 μs,109.00 μs,12.22,11.39,85.17 KB,5.20
