Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,HitCount,Mean,Error,StdDev,Median,Ratio,RatioSD,Gen0,Allocated,Alloc Ratio
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100,331.44 μs,545.78 μs,29.916 μs,324.19 μs,0.005,0.00,0.0000,241144 B,0.022
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1000,"62,148.82 μs","36,985.11 μs","2,027.279 μs","62,181.29 μs",1.00,0.04,1000.0000,11018112 B,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1000,812.92 μs,731.31 μs,40.085 μs,798.48 μs,0.01,0.00,0.0000,172640 B,0.02
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,1000,"4,222.83 μs","2,439.25 μs",133.703 μs,"4,163.33 μs",0.07,0.00,0.0000,3736848 B,0.34
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,"51,559.51 μs","74,572.25 μs","4,087.557 μs","51,747.52 μs",1.00,0.10,1000.0000,11018112 B,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,"4,500.91 μs",898.22 μs,49.235 μs,"4,523.81 μs",0.09,0.01,0.0000,1684640 B,0.15
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,10000,"48,022.99 μs","5,989.40 μs",328.299 μs,"48,188.85 μs",0.94,0.07,7000.0000,49774656 B,4.52
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,"49,553.36 μs","50,206.09 μs","2,751.965 μs","49,880.38 μs",1.00,0.07,1000.0000,11018112 B,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,"20,453.91 μs","31,704.26 μs","1,737.818 μs","20,538.56 μs",0.41,0.04,1000.0000,6271312 B,0.57
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,50000,"204,371.80 μs","137,337.51 μs","7,527.933 μs","202,961.60 μs",4.13,0.24,33000.0000,209021816 B,18.97
"'Current — build full N permutation, scan all'",Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100000,"46,779.63 μs","26,241.61 μs","1,438.391 μs","47,171.56 μs",1.00,0.04,1000.0000,11018112 B,1.00
'Sort K — precompute K keys once (production-shaped)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100000,"36,668.17 μs","31,170.92 μs","1,708.583 μs","36,401.44 μs",0.78,0.04,1000.0000,9817968 B,0.89
'Sort K — naive comparator (unfair: rebuilds keys in sort)',Job-LRXUOV,False,Default,Default,Default,Default,Default,Default,00000000,Empty,RyuJit,Default,Arm64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,InProcessNoEmitToolchain,Default,1,3,Default,Default,Default,Default,Default,Default,Default,Default,1,1,100000,"381,948.44 μs","137,058.42 μs","7,512.634 μs","384,865.58 μs",8.17,0.26,57000.0000,361547432 B,32.81
